,qid,block,questionText,questionName,carryForward,choices,recode,description,text,subQuestion,questionType,questionSelector,questionSubSelector,validationForce,validationRequest,validationType,validationSettings,Easy.variable.name,Easy.variable.nameTEMP
19,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,2,2,Understand participation,"2. I understand that my participation in this project is voluntary and that I am free to withdraw at any time, without giving any reason, and without my medical care or legal rights being affected.",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
20,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,3,3,Consent to take part,"3. I agree to take part in the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley at King’s College London.",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
21,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,4,4,Consent to provide questionnaire data,"4. I agree to provide questionnaire data, including information about my health, lifestyle, emotional wellbeing, and experiences of mental health symptoms.",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
22,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,5,5,Consent to recontact,5. Optional: I agree to be re-contacted by the COPING team to complete shorter follow up questionnaires on a 2-weekly and later monthly basis and after a major change of event or policy regarding the coronavirus situation.,no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
23,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,9,6,Consent to newsletter,6. Optional: I give permission for the COPING team to send me newsletters/updates about this study. I understand that I can change my mind later and opt in or out of receiving these by contacting the study team.,no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
24,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,6,7,Consent to personal data storage,"7. Optional: I agree for my personal (e.g. name, surname, date of birth) and contact details (e.g. email address, phone numbers) to be stored on a secure database by the COPING study for the purposes of contacting me for completion of follow-up questionnaires and, if I opt-in, for communications by the study team (e.g. newsletters).",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
25,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,8,8,Consent to data linkage,"8. As a member of the NIHR BioResource, I agree for the data I provide in this study to be securely linked to my demographic and genetic data previously collected by the NIHR BioResource.",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
26,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,10,9,Consent to anonymous data in future research,"9. As a member of the NIHR BioResource, I understand that this data may be used in future research in a secure and anonymised fashion without my further permission, and this research may include work conducted by commercial companies. I understand that I will not benefit financially if this research leads to new medical tests, treatments or interventions.",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
27,QID1648,COPING_NBR_PIS_CONSENT,Thank you for consenting to follow-up. Would you prefer to receive your questionnaires by email or text message?Please note that texts can only be sent to UK numbers.,Contact_preferences,nan,1,1,Email,Email,no,Multiple choice,Single answer,TX,True,nan,nan,nan,Thank you for consenting to followup Would you prefer to receive your questionnaires by email or text messagePlease note that texts can only be sent to UK numbers,CONSENT.text_messageplease_note_uk_numbers
28,QID1648,COPING_NBR_PIS_CONSENT,Thank you for consenting to follow-up. Would you prefer to receive your questionnaires by email or text message?Please note that texts can only be sent to UK numbers.,Contact_preferences,nan,2,2,Text message,Text message,no,Multiple choice,Single answer,TX,True,nan,nan,nan,Thank you for consenting to followup Would you prefer to receive your questionnaires by email or text messagePlease note that texts can only be sent to UK numbers,CONSENT.text_messageplease_note_uk_numbers
29,QID1647_1,COPING_NBR_PIS_CONSENT,Please enter your details below.,Contact_details,nan,1,None,First name,First name,no,Text entry,FORM,None,True,nan,nan,nan,First name,CONSENT.First_name
30,QID1647_2,COPING_NBR_PIS_CONSENT,Please enter your details below.,Contact_details,nan,2,None,Last name,Last name,no,Text entry,FORM,None,True,nan,nan,nan,Last name,CONSENT.Last_name
31,QID1647_4,COPING_NBR_PIS_CONSENT,Please enter your details below.,Contact_details,nan,4,None,"Mobile number (UK only, please include country code e.g. +447712345678)","Mobile number (UK only, please include country code e.g. +447712345678)",no,Text entry,FORM,None,True,nan,nan,nan,Mobile number ,CONSENT.Mobile_number_
32,QID1647_5,COPING_NBR_PIS_CONSENT,Please enter your details below.,Contact_details,nan,5,None,Email address,Email address,no,Text entry,FORM,None,True,nan,nan,nan,Email address,CONSENT.Email_address
33,QID1647_6,COPING_NBR_PIS_CONSENT,Please enter your details below.,Contact_details,nan,6,None,Confirm email address,Confirm email address,no,Text entry,FORM,None,True,nan,nan,nan,Confirm email address,CONSENT.Confirm_email_address
38,QID682_2,COPING_Demographics,What is your date of birth?,,nan,2,2,Day,Day,yes,Matrix,Profile,DL,True,nan,nan,nan,Day,Demographics.Day
39,QID682_1,COPING_Demographics,What is your date of birth?,,nan,1,1,Month,Month,yes,Matrix,Profile,DL,True,nan,nan,nan,Month,Demographics.Month
40,QID682_3,COPING_Demographics,What is your date of birth?,,nan,3,3,Year,Year,yes,Matrix,Profile,DL,True,nan,nan,nan,Year,Demographics.Year
41,QID682_2,COPING_Demographics,What is your date of birth?,,nan,2,2,Day,Day,yes,Matrix,Profile,DL,True,nan,nan,nan,Day,Demographics.Day
42,QID682_1,COPING_Demographics,What is your date of birth?,,nan,1,1,Month,Month,yes,Matrix,Profile,DL,True,nan,nan,nan,Month,Demographics.Month
43,QID682_3,COPING_Demographics,What is your date of birth?,,nan,3,3,Year,Year,yes,Matrix,Profile,DL,True,nan,nan,nan,Year,Demographics.Year
44,QID613,COPING_Demographics,"What was your assigned sex at birth?Note: This question refers to assigned sex at birth, not gender. Responses to this question are used to select questionnaire items that may be relevant to your medical history.",DEM.SEX.1.0,nan,1,0,Male,Male,no,Multiple choice,Single answer,TX,True,nan,nan,nan,What was your assigned sex at birthNote This question refers to assigned sex at birth not gender Responses to this question are used to select questionnaire items that may be relevant to your medical history,Demographics.select_questionnaire_items_assigned_sex
45,QID613,COPING_Demographics,"What was your assigned sex at birth?Note: This question refers to assigned sex at birth, not gender. Responses to this question are used to select questionnaire items that may be relevant to your medical history.",DEM.SEX.1.0,nan,2,1,Female,Female,no,Multiple choice,Single answer,TX,True,nan,nan,nan,What was your assigned sex at birthNote This question refers to assigned sex at birth not gender Responses to this question are used to select questionnaire items that may be relevant to your medical history,Demographics.select_questionnaire_items_assigned_sex
46,QID614,COPING_Demographics,Which gender do you identify with?,DEM.GEN.1.0,nan,1,0,Male,Male,no,Multiple choice,Single answer,TX,True,nan,nan,nan,Which gender do you identify with,Demographics.Which_gender_do_you_identify_with
47,QID614,COPING_Demographics,Which gender do you identify with?,DEM.GEN.1.0,nan,2,1,Female,Female,no,Multiple choice,Single answer,TX,True,nan,nan,nan,Which gender do you identify with,Demographics.Which_gender_do_you_identify_with
48,QID614,COPING_Demographics,Which gender do you identify with?,DEM.GEN.1.0,nan,3,2,Non-binary,Non-binary,no,Multiple choice,Single answer,TX,True,nan,nan,nan,Which gender do you identify with,Demographics.Which_gender_do_you_identify_with
49,QID614,COPING_Demographics,Which gender do you identify with?,DEM.GEN.1.0,nan,4,3,self-define,Prefer to self-define (please tell us more),no,Multiple choice,Single answer,TX,True,nan,nan,nan,Which gender do you identify with,Demographics.Which_gender_do_you_identify_with
50,QID614,COPING_Demographics,Which gender do you identify with?,DEM.GEN.1.0,nan,6,-88,Don't know,Don't know,no,Multiple choice,Single answer,TX,True,nan,nan,nan,Which gender do you identify with,Demographics.Which_gender_do_you_identify_with
51,QID614,COPING_Demographics,Which gender do you identify with?,DEM.GEN.1.0,nan,5,-99,Prefer not to answer,Prefer not to answer,no,Multiple choice,Single answer,TX,True,nan,nan,nan,Which gender do you identify with,Demographics.Which_gender_do_you_identify_with
52,QID614,COPING_Demographics,Which gender do you identify with?,DEM.GEN.1.0,nan,1,0,Male,Male,no,Multiple choice,Single answer,TX,True,nan,nan,nan,Which gender do you identify with,Demographics.Which_gender_do_you_identify_with
53,QID614,COPING_Demographics,Which gender do you identify with?,DEM.GEN.1.0,nan,2,1,Female,Female,no,Multiple choice,Single answer,TX,True,nan,nan,nan,Which gender do you identify with,Demographics.Which_gender_do_you_identify_with
54,QID614,COPING_Demographics,Which gender do you identify with?,DEM.GEN.1.0,nan,3,2,Non-binary,Non-binary,no,Multiple choice,Single answer,TX,True,nan,nan,nan,Which gender do you identify with,Demographics.Which_gender_do_you_identify_with
55,QID614,COPING_Demographics,Which gender do you identify with?,DEM.GEN.1.0,nan,4,3,self-define,Prefer to self-define (please tell us more),no,Multiple choice,Single answer,TX,True,nan,nan,nan,Which gender do you identify with,Demographics.Which_gender_do_you_identify_with
56,QID614,COPING_Demographics,Which gender do you identify with?,DEM.GEN.1.0,nan,6,-88,Don't know,Don't know,no,Multiple choice,Single answer,TX,True,nan,nan,nan,Which gender do you identify with,Demographics.Which_gender_do_you_identify_with
57,QID614,COPING_Demographics,Which gender do you identify with?,DEM.GEN.1.0,nan,5,-99,Prefer not to answer,Prefer not to answer,no,Multiple choice,Single answer,TX,True,nan,nan,nan,Which gender do you identify with,Demographics.Which_gender_do_you_identify_with
58,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,196,0,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
59,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,1,1,Afghanistan,Afghanistan,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
60,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,2,2,Albania,Albania,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
61,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,3,3,Algeria,Algeria,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
62,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,4,4,Andorra,Andorra,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
63,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,5,5,Angola,Angola,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
64,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,6,6,Antigua and Barbuda,Antigua and Barbuda,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
65,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,7,7,Argentina,Argentina,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
66,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,8,8,Armenia,Armenia,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
67,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,9,9,Australia,Australia,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
68,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,10,10,Austria,Austria,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
69,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,11,11,Azerbaijan,Azerbaijan,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
70,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,12,12,Bahamas,Bahamas,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
71,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,13,13,Bahrain,Bahrain,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
72,QID1652,COPING_Demographics,In which country do you currently reside?,DEM.COO.1.0,nan,14,14,Bangladesh,Bangladesh,no,Multiple choice,DL,None,False,nan,nan,nan,In which country do you currently reside,Demographics.country_reside
